IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,,flag
HLN,Helena Regional Airport,Helena,MT,USA,46.60682,-111.98275,Helena-MT,1
HNL,Honolulu International Airport,Honolulu,HI,USA,21.31869,-157.92241,Honolulu-HI,1
HOB,Lea County Regional Airport,Hobbs,NM,USA,32.68753,-103.21703,Hobbs-NM,1
HOU,William P. Hobby Airport,Houston,TX,USA,29.64542,-95.27889,Houston-TX,2
HPN,Westchester County Airport,White Plains,NY,USA,41.06696,-73.70757,White Plains-NY,1
HRL,Valley International Airport,Harlingen,TX,USA,26.22851,-97.65439,Harlingen-TX,1
HSV,Huntsville International Airport,Huntsville,AL,USA,34.64045,-86.77311,Huntsville-AL,1
HYA,Barnstable Municipal Airport,Hyannis,MA,USA,41.66934,-70.28036,Hyannis-MA,1
HYS,Hays Regional Airport,Hays,KS,USA,38.84494,-99.27403,Hays-KS,1
IAD,Washington Dulles International Airport,Chantilly,VA,USA,38.94453,-77.45581,Chantilly-VA,1
IAG,Niagara Falls International Airport,Niagara Falls,NY,USA,43.10726,-78.94538,Niagara Falls-NY,1
IAH,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972,Houston-TX,2
ICT,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Wichita,KS,USA,37.64996,-97.43305,Wichita-KS,1
IDA,Idaho Falls Regional Airport,Idaho Falls,ID,USA,43.51456,-112.07017,Idaho Falls-ID,1
ILG,Wilmington Airport,Wilmington,DE,USA,39.67872,-75.60653,Wilmington-DE,1
ILM,Wilmington International Airport,Wilmington,NC,USA,34.27061,-77.90256,Wilmington-NC,1
IMT,Ford Airport,Iron Mountain/Kingsford,MI,USA,45.81835,-88.11454,Iron Mountain/Kingsford-MI,1
IND,Indianapolis International Airport,Indianapolis,IN,USA,39.71733,-86.29438,Indianapolis-IN,1
INL,Falls International Airport,International Falls,MN,USA,48.56619,-93.40307,International Falls-MN,1
ISN,Sloulin Field International Airport,Williston,ND,USA,48.17794,-103.64235,Williston-ND,1
ISP,Long Island MacArthur Airport,Islip,NY,USA,40.79524,-73.10021,Islip-NY,1
ITH,Ithaca Tompkins Regional Airport,Ithaca,NY,USA,42.49103,-76.45844,Ithaca-NY,1
ITO,Hilo International Airport,Hilo,HI,USA,19.72026,-155.04847,Hilo-HI,1
JAC,Jackson Hole Airport,Jackson,WY,USA,43.60732,-110.73774,Jackson-WY,1
JAN,Jackson-Evers International Airport,Jackson,MS,USA,32.31117,-90.07589,Jackson-MS,1
JAX,Jacksonville International Airport,Jacksonville,FL,USA,30.49406,-81.68786,Jacksonville-FL,1
JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,USA,40.63975,-73.77893,New York-NY,2
JLN,Joplin Regional Airport,Joplin,MO,USA,37.15181,-94.49827,Joplin-MO,1
JMS,Jamestown Regional Airport,Jamestown,ND,USA,46.92972,-98.6782,Jamestown-ND,1
JNU,Juneau International Airport,Juneau,AK,USA,58.35496,-134.57628,Juneau-AK,1
KOA,Kona International Airport at Keahole,Kailua/Kona,HI,USA,19.73877,-156.04563,Kailua/Kona-HI,1
KTN,Ketchikan International Airport,Ketchikan,AK,USA,55.35557,-131.71374,Ketchikan-AK,1
LAN,Capital Region International Airport ( Lansing Capital City),Lansing,MI,USA,42.7787,-84.58736,Lansing-MI,1
LAR,Laramie Regional Airport,Laramie,WY,USA,41.31205,-105.67499,Laramie-WY,1
LAS,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233,Las Vegas-NV,1
LAW,Lawton-Fort Sill Regional Airport,Lawton,OK,USA,34.56771,-98.41664,Lawton-OK,1
LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807,Los Angeles-CA,1
LBB,Lubbock Preston Smith International Airport,Lubbock,TX,USA,33.66364,-101.82278,Lubbock-TX,1
LBE,Arnold Palmer Regional Airport,Latrobe,PA,USA,40.27594,-79.4048,Latrobe-PA,1
LCH,Lake Charles Regional Airport,Lake Charles,LA,USA,30.1261,-93.2234,Lake Charles-LA,1
LEX,Blue Grass Airport,Lexington,KY,USA,38.03697,-84.60539,Lexington-KY,1
LFT,Lafayette Regional Airport,Lafayette,LA,USA,30.20528,-91.98766,Lafayette-LA,1
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.77724,-73.87261,New York-NY,2
LGB,Long Beach Airport (Daugherty Field),Long Beach,CA,USA,33.81772,-118.15161,Long Beach-CA,1
LIH,Lihue Airport,Lihue,HI,USA,21.97598,-159.33896,Lihue-HI,1
LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,USA,34.7294,-92.22425,Little Rock-AR,1
LNK,Lincoln Airport (Lincoln Municipal),Lincoln,NE,USA,40.85097,-96.75925,Lincoln-NE,1
LRD,Laredo International Airport,Laredo,TX,USA,27.54374,-99.46154,Laredo-TX,1
LSE,La Crosse Regional Airport,La Crosse,WI,USA,43.87938,-91.25654,La Crosse-WI,1
LWS,Lewiston-Nez Perce County Airport,Lewiston,ID,USA,46.3745,-117.01539,Lewiston-ID,1
MAF,Midland International Airport,Midland,TX,USA,31.94253,-102.20191,Midland-TX,1
MBS,MBS International Airport,Saginaw,MI,USA,43.53291,-84.07965,Saginaw-MI,1
MCI,Kansas City International Airport,Kansas City,MO,USA,39.29761,-94.71391,Kansas City-MO,1
MCO,Orlando International Airport,Orlando,FL,USA,28.42889,-81.31603,Orlando-FL,1
MDT,Harrisburg International Airport,Harrisburg,PA,USA,40.1935,-76.7634,Harrisburg-PA,1
MDW,Chicago Midway International Airport,Chicago,IL,USA,41.78598,-87.75242,Chicago-IL,2
MEI,Meridian Regional Airport,Meridian,MS,USA,32.33313,-88.75121,Meridian-MS,1
MEM,Memphis International Airport,Memphis,TN,USA,35.04242,-89.97667,Memphis-TN,1
MFE,McAllen-Miller International Airport (McAllen Miller International),McAllen,TX,USA,26.17583,-98.23861,McAllen-TX,1
MFR,Rogue Valley International Airport,Medford,OR,USA,42.37423,-122.8735,Medford-OR,1
MGM,Montgomery Regional Airport,Montgomery,AL,USA,32.30064,-86.39398,Montgomery-AL,1
MHK,Manhattan Regional Airport,Manhattan,KS,USA,39.14097,-96.67083,Manhattan-KS,1
MHT,Manchester-Boston Regional Airport,Manchester,NH,USA,42.93452,-71.43706,Manchester-NH,1
MIA,Miami International Airport,Miami,FL,USA,25.79325,-80.29056,Miami-FL,1
MKE,General Mitchell International Airport,Milwaukee,WI,USA,42.94722,-87.89658,Milwaukee-WI,1
MKG,Muskegon County Airport,Muskegon,MI,USA,43.16949,-86.23822,Muskegon-MI,1
