IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,,flag
SAF,Santa Fe Municipal Airport,Santa Fe,NM,USA,35.61678,-106.08814,Santa Fe-NM,1
SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,USA,32.73356,-117.18966,San Diego-CA,2
SAT,San Antonio International Airport,San Antonio,TX,USA,29.53369,-98.46978,San Antonio-TX,1
SAV,Savannah/Hilton Head International Airport,Savannah,GA,USA,32.12758,-81.20214,Savannah-GA,1
SBA,Santa Barbara Municipal Airport (Santa Barbara Airport),Santa Barbara,CA,USA,34.42621,-119.84037,Santa Barbara-CA,1
SBN,South Bend International Airport (South Bend Regional),South Bend,IN,USA,41.70895,-86.31847,South Bend-IN,1
SBP,San Luis Obispo County Regional Airport (McChesney Field),San Luis Obispo,CA,USA,35.23706,-120.64239,San Luis Obispo-CA,1
SCC,Deadhorse Airport (Prudhoe Bay Airport),Deadhorse,AK,USA,70.19476,-148.46516,Deadhorse-AK,1
SCE,University Park Airport,State College,PA,USA,40.85121,-77.8463,State College-PA,1
SDF,Louisville International Airport (Standiford Field),Louisville,KY,USA,38.17439,-85.736,Louisville-KY,1
SEA,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931,Seattle-WA,1
SFO,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37484,San Francisco-CA,1
SGF,Springfield-Branson National Airport,Springfield,MO,USA,37.24433,-93.38686,Springfield-MO,1
SGU,St. George Regional Airport,St George,UT,USA,37.09058,-113.59306,St George-UT,1
SHV,Shreveport Regional Airport,Shreveport,LA,USA,32.44663,-93.8256,Shreveport-LA,1
SIT,Sitka Rocky Gutierrez Airport,Sitka,AK,USA,57.04714,-135.3616,Sitka-AK,1
SJC,Norman Y. Mineta San José International Airport,San Jose,CA,USA,37.36186,-121.92901,San Jose-CA,1
SJT,San Angelo Regional Airport (Mathis Field),San Angelo,TX,USA,31.35775,-100.49631,San Angelo-TX,1
SJU,Luis Muñoz Marín International Airport,San Juan,PR,USA,18.43942,-66.00183,San Juan-PR,1
SLC,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97777,Salt Lake City-UT,1
SMF,Sacramento International Airport,Sacramento,CA,USA,38.69542,-121.59077,Sacramento-CA,1
SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),Santa Maria,CA,USA,34.89925,-120.45758,Santa Maria-CA,1
SNA,John Wayne Airport (Orange County Airport),Santa Ana,CA,USA,33.67566,-117.86822,Santa Ana-CA,1
SPI,Abraham Lincoln Capital Airport,Springfield,IL,USA,39.84395,-89.67762,Springfield-IL,1
SPS,Wichita Falls Municipal Airport/Sheppard AFB,Wichita Falls,TX,USA,33.9888,-98.49189,Wichita Falls-TX,1
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,USA,27.39533,-82.55411,Sarasota-FL,1
STC,St. Cloud Regional Airport,St Cloud,MN,USA,45.54532,-94.05834,St Cloud-MN,1
STL,St. Louis International Airport at Lambert Field,St Louis,MO,USA,38.74769,-90.35999,St Louis-MO,1
STT,Cyril E. King Airport,Charlotte Amalie,VI,USA,18.33731,-64.97336,Charlotte Amalie-VI,1
STX,Henry E. Rohlsen Airport,Christiansted,VI,USA,17.70189,-64.79856,Christiansted-VI,1
SUN,Friedman Memorial Airport,Hailey,ID,USA,43.50484,-114.29659,Hailey-ID,1
SUX,Sioux Gateway Airport,Sioux City,IA,USA,42.4026,-96.38437,Sioux City-IA,1
SWF,Stewart International Airport,Newburgh,NY,USA,41.50409,-74.10484,Newburgh-NY,1
SYR,Syracuse Hancock International Airport,Syracuse,NY,USA,43.11119,-76.10631,Syracuse-NY,1
TLH,Tallahassee International Airport,Tallahassee,FL,USA,30.39653,-84.35033,Tallahassee-FL,1
TOL,Toledo Express Airport,Toledo,OH,USA,41.58681,-83.80783,Toledo-OH,1
TPA,Tampa International Airport,Tampa,FL,USA,27.97547,-82.53325,Tampa-FL,1
TRI,Tri-Cities Regional Airport,Bristol,TN,USA,36.47521,-82.40742,Bristol-TN,1
TTN,Trenton Mercer Airport,Trenton,NJ,USA,40.27669,-74.81347,Trenton-NJ,1
TUL,Tulsa International Airport,Tulsa,OK,USA,36.19837,-95.88824,Tulsa-OK,1
TUS,Tucson International Airport,Tucson,AZ,USA,32.11608,-110.94103,Tucson-AZ,1
TVC,Cherry Capital Airport,Traverse City,MI,USA,44.74144,-85.58224,Traverse City-MI,1
TWF,Magic Valley Regional Airport (Joslin Field),Twin Falls,ID,USA,42.4818,-114.48774,Twin Falls-ID,1
TXK,Texarkana Regional Airport (Webb Field),Texarkana,AR,USA,33.45371,-93.99102,Texarkana-AR,1
TYR,Tyler Pounds Regional Airport,Tyler,TX,USA,32.35414,-95.40239,Tyler-TX,1
TYS,McGhee Tyson Airport,Knoxville,TN,USA,35.81249,-83.99286,Knoxville-TN,1
UST,Northeast Florida Regional Airport (St. Augustine Airport),St. Augustine,FL,USA,,,St. Augustine-FL,1
VEL,Valdez Airport,Vernal,UT,USA,40.4409,-109.50992,Vernal-UT,1
VLD,Valdosta Regional Airport,Valdosta,GA,USA,30.7825,-83.27672,Valdosta-GA,1
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,USA,30.48325,-86.5254,Valparaiso-FL,1
WRG,Wrangell Airport,Wrangell,AK,USA,56.48433,-132.36982,Wrangell-AK,1
WYS,Westerly State Airport,West Yellowstone,MT,USA,44.6884,-111.11764,West Yellowstone-MT,1
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,USA,36.28187,-94.30681,Fayetteville/Springdale/Rogers-AR,1
YAK,Yakutat Airport,Yakutat,AK,USA,59.50336,-139.66023,Yakutat-AK,1
YUM,Yuma International Airport,Yuma,AZ,USA,32.65658,-114.60597,Yuma-AZ,1
